result,question_id,question,A,B,C,D,answer,correct,model_name
A,2632,Which of the following best represents one particular stage in a life cycle?,a fish swimming,a seed sprouting,a leaf growing,a dog eating,B,False,X
B,2633,Which process of the water cycle transports water from plants to clouds?,precipitation,transpiration,condensation,sublimation,B,True,X
C,2634,Sulfur scrubbers are devices installed in coal-fired power plants. Sulfur scrubbers reduce the emission of sulfur dioxide. What environmental problem are sulfur scrubbers most likely trying to address?,ozone,erosion,acid rain,nutrient runoff,C,True,X
A,2635,Which system of the human body provides protection to most of the major organs?,skeletal system,circulatory system,respiratory system,muscular system,A,True,X
A,2636,"A scientist developed a model that described the actions of DNA in the cell nuclei, which helped explain how traits were inherited. Which scientist helped develop this model?",Bohr,Hooke,Mendel,Watson,D,False,X
B,2637,Which item is designed to change electrical energy into heat energy?,Alarm clock,Hand dryer,Fan,Telephone,B,True,X
A,2638,Which characteristic is the best example of an inherited trait?,eye color,an infection,knowledge of soccer,length of hair,A,True,X
D,2639,"Which correctly arranges three scientific terms-theory, law, and hypothesis-from least to most accepted or tested?","theory, hypothesis, law","hypothesis, law, theory","theory, law, hypothesis","hypothesis, theory, law",D,True,X
A,2641,"A dung beetle is an insect that gathers waste from animals, rolls it into a compact ball, lays eggs in it, and buries it in the soil. This gives the eggs a warm, safe place to hatch and provides a food source for the developing larvae. Which impact does the dung beetle most likely have on its ecosystem?",It helps return nutrients to the soil.,It makes animal waste harder to degrade.,It causes an unhealthy accumulation of animal waste.,It depletes nutrients from the soil to benefit its young.,A,True,X
C,2642,"After playing outside on a cold day, Jaime went inside to wash his hands. Although the water was normal temperature, he noticed that it felt warmer than usual. What would explain this phenomenon?",His body had more kinetic energy than the water.,Heat flowed from a cooler substance to a warmer substance.,The water from the faucet had a higher temperature than his skin.,The thermal energy in the room was higher than the thermal energy outside.,C,True,X
B,2645,"Earthworms live underground in the soil. As they move through the soil, they create tunnels. The tunnels help improve the soil. Plants grow better in soil that has earthworms. Which statement explains how earthworm tunnels help plants?",Earthworm tunnels bring heat into the soil that warms plant roots.,Earthworm tunnels loosen the soil so plant roots can easily grow,Earthworm tunnels allow sunlight to reach the plant roots in the soil.,Earthworm tunnels create places where insects can hide and protect plant roots.,B,True,X
A,2646,Which tools are best used to determine the speed of a turtle as it walks along a path?,Meter stick and graduated cylinder,Stopwatch and meter stick,Balance and metric ruler,Balance and stopwatch,B,False,X
C,2647,Which tool would a student use to measure wind speed?,compass,barometer,anemometer,weather vane,C,True,X
A,2648,Why would explorers use a compass when traveling to unknown lands?,to locate a direction to travel,to measure the quality of drinking water,to protect themselves from wild animals,to determine levels of humanity in tropical areas,A,True,X
C,2649,Which measurement tool is used to find the volume of a small piece of granite?,thermometer,metric ruler,graduated cylinder,triple beam balance,C,True,X
D,2650,What form of energy causes an ice cube to melt?,mechanical,magnetic,sound,heat,D,True,X
B,2651,Which characteristic is most beneficial for an animal living on a snowy mountain?,thick fur,dark spots,moist skin,webbed feet,A,False,X
A,2652,Which of the following is a property of CO2 gas?,It feels like a rock.,It smells like a lemon.,It is colorless.,It is hard.,C,False,X
A,2653,Which rapid changes can be caused by storms?,landslides and flooding,flooding and earthquakes,landslides and volcanoes,volcanoes and earthquakes,A,True,X
A,2654,Which is an example of a chemical reaction?,nails rusting,glass melting,sugar dissolving,alcohol vaporizing,A,True,X
A,2655,Which unit of measurement can be used to describe the length of a desk?,centimeters,grams,liters,degrees Celsius,A,True,X
D,2656,The incompleteness of the fossil record results primarily from which phenomenon?,the frequency and irregular timing of organism speciations,the metamorphosis of most sedimentary rock by heat and pressure,the geologically rapid cycling of crust material back into the mantle,the rarity with which organic remains are exposed to fossil-forming conditions,D,True,X
A,2657,"A student conducts an investigation. In order to make a valid conclusion, she must",have a testable hypothesis.,place the data in a graph.,use the best technology.,test multiple variables.,A,True,X
A,2658,The bonding of oxygen to red blood cells is important to the body because it enables the body to,absorb nutrients from food.,make energy from light.,maintain a constant temperature.,perform aerobic respiration in cells.,D,False,X
B,2659,Some of Earth's water is stored underground in porous rock formations known as aquifers. Which of these could use up groundwater in aquifers?,abundant rain in the Ozarks,excessive pumping from wells,dams on the lower Mississippi,community water conservation,B,True,X
A,2660,All plants and animals have mechanisms that,transport nutrients,perform photosynthesis,regulate nerves,produce flowers,A,True,X
A,2661,Which is the best tool to measure the angles of a triangular object?,a meter stick,a compass,a protractor,a spring scale,C,False,X
C,2662,All living organisms are dependent on plants because plants,produce carbon dioxide,remove oxygen from the air,are producers,are consumers,C,True,X
A,2664,"While studying the relationship between number of trees and amount of atmospheric oxygen, which of the following would be most important to take into account?",contributions to atmospheric oxygen from sources other than trees,the ways in which industrialized nations use trees,the root area of trees,the bark mass of trees,A,True,X
A,2665,"A student is working on a science project display for the school science fair. To best communicate why her conclusions are valid, what should be included on the display?",a list of authoritative sources that supports her conclusion,instructions for viewers to repeat her procedures,clearly illustrated diagrams of the scientific principles involved,a complete write-up of her experimental method and data collected,D,False,X
C,2666,Which of the following describes asexual reproduction?,the process of meiosis in a fruit fly,fertilization of a chicken egg,binary fission in an amoeba,the process of embryo development in a mouse,C,True,X
B,2667,Which scientist is known for his genetics experiments with pea plants?,Charles Darwin,Gregor Mendel,Carolus Linnaeus,Robert Hooke,B,True,X
A,2668,"On a cold, cloudy day, the local weather forecaster predicts that a high-pressure system will be moving into the area in the next 24 hours. Which weather conditions will this system most likely bring to the area?",stormy,sunny,snowy,hot,B,False,X
A,2669,What determines if twins are identical?,their genes,their behavior,their environment,their personalities,A,True,X
D,2670,Which of these processes is a conversion made by solar panels?,mechanical energy to nuclear energy,thermal energy to chemical energy,kinetic energy to potential energy,radiant energy to electrical energy,D,True,X
C,2671,"In fruit flies, red eyes are dominant over sepia eyes. A male with red eyes is crossed with a female with sepia eyes producing first generation offspring that all had sepia eyes. What does this indicate about the flies that were crossed?",Both parents are homozygous for the trait.,Both parents are heterozygous for the trait.,The male is heterozygous and the female is homozygous recessive for the trait.,The male is homozygous dominant and the female is heterozygous for the trait.,C,True,X
B,2672,Acid rain caused by industrial pollution greatly reduces the number of trees in a forested region that is home to a particular species of bird. How might this decrease in the number of trees most likely affect this bird population?,The population will adapt to ground dwelling.,The population will decrease due to lack of resources.,The population will stabilize when it moves to another region.,The population will increase as predators move out of the region.,B,True,X
A,2673,Which of these is the main function of a cell wall?,To make food,To store water,To provide support,To make the plant green,C,False,X
A,2674,Which sentence about the periodic table of elements is true?,All elements in period 2 are metals.,All elements in group 18 are metals.,Metals are found on the left side of the periodic table.,Metals are found on the right side of the periodic table.,C,False,X
C,2675,"Salt concentration, water temperature, plankton, and the whale shark might all be used in a description of an ocean",climate.,food web.,ecosystem.,population.,C,True,X
A,2676,"Rocks can be classified many different ways, including as igneous, metamorphic, and sedimentary. This classification is based on the",origin of the rocks.,use of the rocks.,size of the rocks.,hardness of the rocks.,A,True,X
A,2677,A mountain range has hills around its edges. How are the mountains and hills alike?,Both have grass at the top.,Both are at least 1000 meters tall.,Both have liquid rock at their centers.,Both are taller than the land around them.,D,False,X
A,2679,Phyllis investigated what happened when she added some different substances to water. Which substance can combine with water to form a solution?,oil,rocks,soil,sugar,D,False,X
B,2680,Fossil fuels are considered a nonrenewable resource because they,have turned into solid rock.,take a long period of time to form.,are expensive to remove from rock.,are located deep within the Earth's crust.,B,True,X
B,2681,A student is growing some plants for an experiment. She notices small white spots on the leaves. Which tool should she use to get a better look at the spots?,thermometer,hand lens,graduated cylinder,balance,B,True,X
C,2682,"Why are seals able to live off the coast of Antarctica while frogs, snakes, and panthers are not?",Seals can swim.,Seals are predators.,Seals have fur and blubber.,Seals are warm-blooded animals.,C,True,X
A,2683,How are the functions of a carbohydrate and a lipid similar?,Both are a source of energy.,Both are replicated during meiosis.,Both lower the activation energy of reactions.,Both dissolve nutrients in the digestive system.,A,True,X
A,2684,"Traveling in opposite directions, buses A and B are passing each other at the relative speed of 25 km/h, while a passenger on bus A walks toward the back of the bus at the speed of 5 km/h. What is the velocity of the passenger on bus A relative to bus B?",20 km/h in the direction of bus A,20 km/h in the direction of bus B,30 km/h in the direction of bus A,30 km/h in the direction of bus B,A,True,X
C,2685,A student drops a ball. Which force causes the ball to fall to the ground?,electricity,friction,gravity,magnetism,C,True,X
C,2686,"Hydrogen is located on the left side of the periodic table in the same column as the alkali metals, but it has characteristics of a nonmetal. Which of the following is a physical property of hydrogen?",Hydrogen can bond to itself.,Hydrogen makes positive ions.,Hydrogen is a gas at room temperature.,Hydrogen is combustible.,C,True,X
C,2687,"In an experiment, a scientist named Pavlov rang a bell before he fed his dogs, which made the dogs drool. Soon the dogs would drool when they heard the bell, even if they did not receive any food. What type of response did the dogs exhibit?",an instinct,an inherited trait,a learned behavior,a conscious behavior,C,True,X
C,2688,Which invention will best help people travel quickly to far away places?,car,boat,airplane,skateboard,C,True,X
C,2689,"What is an environmental threat posed by oil and gas acquisition and transport that is not posed by the acquisition and transport of the energy resources uranium, and wood?",habitat change,vehicle pollution,pipeline leaks,soil compaction and loss,C,True,X
A,2690,Some plant species are more tolerant of acidic soil than others. The tolerant species are favored in areas affected by which consequence of human activity?,mixing of pollutants with rain,erosion of topsoil by clearcutting,runoff of fertilizer used in farming,thinning of the atmospheric ozone layer,A,True,X
A,2693,"During its lifetime, which object is known to change in brightness, color, and temperature?",star,moon,asteroid,planet,A,True,X
B,2694,What causes a free falling object to accelerate?,inertia,gravity,initial speed,initial direction,B,True,X
A,2695,What is the main source of energy that drives all weather patterns?,the Sun,oceans,the Moon,mountains,A,True,X
B,2696,What is one factor that contributes to seasons occurring in New York State?,the revolution of the Moon around Earth,the tilt of Earth on its axis,the rising and falling of ocean tides,the distance of Earth from the Sun,B,True,X
A,2697,Which cell part is correctly paired with its function?,nucleus-controls cell activities,chloroplast-outside boundary of plant cells,cell wall-controls what goes in and out of cells,cell membrane-where photosynthesis takes place,A,True,X
A,2700,A rubber band will make a sound when it is,vibrated.,stretched.,cut into pieces.,shot across a room.,A,True,X
D,2701,What would a warm air mass over the ocean most likely cause?,earthquake,snowfall,tsunami,rainfall,D,True,X
A,2702,The Moon is visible to observers on Earth because of,reflected sunlight,absorbed light from Earth's atmosphere,gases in the Moon's interior,volcanic eruptions on the Moon's surface,A,True,X
C,2703,Which illness is always caused by an infection?,a heart attack,a broken bone,influenza,cancer,C,True,X
A,2704,Jonny climbed an apple tree. How are Jonny and the apple tree similar to each other?,Both are made of cells.,Both take in carbon dioxide.,Both get nutrients directly from soil.,Both get energy from other organisms.,A,True,X
B,2705,What are the names of the products in the chemical equation shown below? HCl + NaHCO_{3} -> NaCl + CO_{2} + H_{2}O,hydrochloric acid and sodium carbonate,"sodium chloride, carbon dioxide, and water",hydrogen chloride and sodium bicarbonate,"sodium chloride, carbon monoxide, and dihydrogen oxide",B,True,X
A,2706,A ball is tossed up in the air and it comes back down. The ball comes back down because of,gravity,friction,erosion,magnetism,A,True,X
B,2707,Timber companies can best manage the number of trees in forests by,converting deforested areas into malls.,planting trees to replace what they cut down.,adding pesticides to the soil around the trees.,removing the tree stumps when trees are cut down.,B,True,X
A,2708,The formation of the Himalayan Mountains is one example of land features caused by compressive forces. Which action most likely led to the formation of these mountains?,seafloor spreading,strike-slip faulting,colliding plates,hot spots,C,False,X
A,2709,What abiotic factor would most likely signal a population of birds that it is time to migrate from north to south?,decrease in sunlight,change in precipitation,increase in food source,change in wind direction,A,True,X
B,2710,A greenhouse is used as a model of the atmosphere. Which of the following cannot be demonstrated by the model?,energy used to evaporate water,changes in greenhouse gases,light energy trapped as heat energy,energy that builds up in the greenhouse air,B,True,X
C,2711,"A light bulb manufacturer claims its light bulb is ""twice as bright"" per unit of electrical energy consumed as the leading light bulb. If this claim is correct, what factor must be accurately compared between the two bulbs?",how much each bulb weighs,how long each bulb lasts,how much heat each bulb releases,how much metal each bulb contains,C,True,X
A,2713,How does the appearance of a constellation change during the night?,Its shape appears to become longer.,Its position appears to shift relative to the horizon.,Its brightest stars begin to appear orange.,Its distance to the North Star decreases.,B,False,X
A,2714,The freezing and thawing action of water affects a rock by,transforming the rock into igneous rock.,chemically changing the rock.,gradually breaking down the rock into smaller pieces.,leaving behind sedimentary particles from evaporated solutions.,C,False,X
C,2716,Earth's rotation (turning on its axis) causes,the seasons to change.,the Moon to appear as different shapes.,day and night.,solar eclipses.,C,True,X
A,2718,What form of energy is being used when a person pushes a wooden block across the floor?,mechanical,magnetic,sound,electrical,A,True,X
C,2719,Which action is an example of good water management?,letting faucets drip,watering the grass every day,turning off the faucet when brushing teeth,running the dishwasher when it is not full,C,True,X
D,2720,An Earth year is the length of time it takes for,Earth to rotate once on its axis,the Moon to revolve once around Earth,the Sun to revolve once around Earth,Earth to revolve once around the Sun,D,True,X
C,2721,Which land form results when carbonic acid in groundwater seeps through rock and dissolves limestone?,valleys,ravines,caverns,mountains,C,True,X
B,2723,Early scientists most likely saw a discharge of electricity for the first time when observing a,waterfall,rainbow,lightning storm,volcano erupting,C,False,X
B,2724,"In humans, the amount of sugar in blood is controlled by the release of a hormone called insulin. This process is an example of",depletion,digestion,regulation,excretion,C,False,X
C,2725,It is necessary to add a day to the calendar every four years because,the axis of Earth is tilted.,the gravitational pull of the Sun affects Earth's revolution.,the revolution of Earth is not exactly 365 days.,the Moon crosses the orbit of the Sun every 28 days.,C,True,X
A,2726,Which tool would be best to measure the length of a butterfly?,triple beam balance,graduated cylinder,metric ruler,thermometer,C,False,X
A,2727,Scientists invented a liquid that removes grease and keeps the skin soft. How could this discovery most likely be used?,to improve dish soap,to cure a disease,to make clothes,to grow plants,A,True,X
A,2728,The first step in the water cycle is evaporation. What gives water the energy to evaporate?,Sun,wind,clouds,waves,A,True,X
A,2729,"On a warm sunny afternoon, ocean water splashed onto a rock. A short time later, the rock was dry. Which statement best explains what happened to the water on the rock?",Heat caused the water to become a gas.,Heat melted the water and it disappeared.,Salt caused the water to become a gas.,Salt melted the water and it disappeared.,A,True,X
A,2730,Which is a nonrenewable natural resource that is used to make electrical energy?,coal,wind,water,thermal,A,True,X
A,2731,Which process initiates the passage of half of a parent's DNA to offspring?,meiosis,mitosis,fertilization,differentiation,A,True,X
C,2732,Which resource provides the minerals plants need to grow?,sunlight,water,soil,air,C,True,X
B,2733,At what time on a sunny day will the shadow of the school's flagpole be the shortest?,sunrise,noon,mid-afternoon,sunset,B,True,X
B,2734,Animals get energy for growth and repair from,soil,food,water,air,B,True,X
B,2735,A flower produces seeds that fall to the ground and grow into new plants that produce more flowers. The seeds begin to grow by the process of,fertilization.,germination.,maturation.,pollination.,B,True,X
B,2736,A rock has most likely traveled a long distance from its place of origin if it is,very small.,rounded and smooth.,partially faded.,rough and dense.,B,True,X
B,2737,Which of the following best explains why the tectonic plates of Earth move?,conduction from solar heating,heat convection from the mantle,global winds,ocean currents,B,True,X
D,2739,The formation of coal deposits occurred over millions of years. Which feature was most responsible for these deposits?,barren deserts,active volcanoes,mountains covered in trees,swamps with dense vegetation,D,True,X
D,2740,A teacher is performing a demonstration about static electricity for his class by rubbing a balloon against a wool sweater. The balloon sticks to the wool sweater. Which particles are exchanged during the demonstration?,atoms,protons,neutrons,electrons,D,True,X
D,2742,A scientist plans to investigate the nervous system of sea slugs. What should the scientist do first?,Develop a theory about sea slugs that can be tested.,Go to the ocean to observe the behavior of sea slugs.,Obtain several sea slugs and conduct experiments with them.,Review the research other scientists have done on sea slugs.,D,True,X
B,2743,Natural selection is a mechanism that acts on individuals within a population. Which is a result of the process of natural selection?,The reproductive rate of the population decreases.,Genetic similarity within the population increases.,Organisms are better adapted to their environment.,Adverse changes to the environment become more frequent.,C,False,X
A,2744,What chemical symbol represents the element iron?,Fe,I,Ir,Pb,A,True,X
A,2745,A push or a pull on an object is an example of,force.,weight.,energy.,work.,A,True,X
A,2746,Which statement is a description of weather?,Summers in Tucson are hot and dry.,Winters in Flagstaff are cold and snowy.,The temperature is 55° F in Winslow today.,The Sun will set in Yuma today at 6:45 p.m.,C,False,X
C,2747,Clouds and precipitation moved across western Massachusetts one evening. The temperature changed from 41°F to 28°F. Which of the following changes in precipitation most likely occurred on this evening?,sleet changing to hail,snow changing to rain,rain changing to sleet,snow changing to hail,C,True,X
A,2749,Why is water considered to be a renewable resource?,Water can be used over again.,Water can be found all over Earth.,Water can dissolve other substances.,Water is needed by organisms to stay alive.,A,True,X
A,2751,To which group does an animal belong if it lays eggs and has scales and gills?,amphibian,bird,fish,reptile,C,False,X
B,2752,What causes nighttime and daytime on Earth?,the Sun rotating on its axis,Earth rotating on its axis,Earth revolving around the Sun,the Moon revolving around Earth,B,True,X
B,2753,Which area is coldest?,rainforest,tundra,grassland,reef,B,True,X
A,2754,Which scientist is credited with using a telescope in the seventeenth century to discover the moons of Jupiter?,Galileo,Kepler,Einstein,Newton,A,True,X
B,2757,Which kind of rock is produced by deposition and cementation?,"marble, a metamorphic rock","sandstone, a sedimentary rock","granite, an intrusive igneous rock","pumice, an extrusive igneous rock",B,True,X
A,2758,Which characteristic is inherited rather than learned?,telling a story,saluting the flag,having blue eyes,riding a bicycle,C,False,X
A,2759,Which biological process in mammals occurs largely due to cell division?,healing,respiration,decomposition,photosynthesis,A,True,X
C,2760,Frame construction predominates in the New England area due to the abundance of,clay.,masonry.,wood.,steel.,C,True,X
B,2761,Which of these properties of water helps moderate the weather of coastal areas?,neutral pH,high specific heat,dissolves many substances,floats as a solid,B,True,X
A,2762,Birds eat non-camouflaged moths at a higher rate than they eat camouflaged moths. In which situation would birds eat the moths at the slowest rate?,dark moths in any environment,light moths in any environment,dark moths in a light environment,light moths in a light environment,D,False,X
A,2763,During which process does a caterpillar become a butterfly?,fertilization,metamorphosis,asexual reproduction,biological adaptation,B,False,X
C,2764,Gregor Mendel cross-pollinated red and white snapdragon flowers. What information indicates that incomplete dominance was achieved?,The offspring had heterozygous alleles.,The offspring had a recessive allele.,The offspring were pink.,The offspring were red.,C,True,X
A,2765,What is the major function of the human excretory system?,eliminate waste materials,respond to stimuli,break down food mechanically,absorb nutrients from food,A,True,X
A,2766,Yumiko gave some reasons why kettles and kitchen pans are often made of copper. Which reason is correct?,Copper is a good conductor of heat.,Copper is easy to melt.,Copper is difficult to shape.,Copper dissolves in hot water.,A,True,X
B,2767,"In most animals, combinations of various tissues make up functional units called",epithelial cells.,organs.,organ systems.,populations.,B,True,X
C,2768,How do the spines of a cactus help it survive?,Spines help the cactus get moisture.,Spines anchor the cactus in the ground.,Spines protect the cactus from animals.,Spines support the stems and branches of the cactus.,C,True,X
A,2769,Water enters a plant cell through the,cell wall.,chloroplasts.,mitochondria.,nucleus.,A,True,X
B,2770,People are developing electric cars that would replace gasoline-burning cars. One major advantage of the electric car is that it,accelerates faster.,causes less pollution.,gives a smoother ride.,needs no battery.,B,True,X
A,2771,Which group of organisms would all be found living in a tropical rain forest?,"Lizards, insects, cacti, kangaroos","Vines, palm trees, tree frogs, monkeys","Evergreens, moose, weasels, mink","Lichens, mosses, caribou, polar bears",B,False,X
C,2772,Which SI unit would be most appropriate for recording the length of a typical classroom?,gram,kilogram,meter,kilometer,C,True,X
A,2773,"If two objects are two meters apart, which of these changes will increase the gravitational force between the two objects?",decreasing the mass of one object,decreasing the mass of both objects,moving the objects to one meter apart,moving the objects to three meters apart,C,False,X
C,2774,Which of these cell structures converts nutrients to energy for cell functions?,cell membrane,chloroplasts,mitochondria,endoplasmic reticulum,C,True,X
C,2775,Cumulonimbus clouds often form along cold fronts. Which type of weather is most likely to occur along a cold front?,moderate temperature with mild breezes,storms with hurricane winds,rain with possible severe thunderstorms,high temperatures with low winds,C,True,X
D,2776,An eagle is a bird that reproduces by laying its eggs in a dry nest. Which animal lays its eggs in a place most similar to the eagle?,amphibian,fish,mammal,reptile,D,True,X
C,2778,How far from Earth is an object that is 10 light years from Earth?,"10,000 km","10,000,000 km",the distance light can travel in 10 years,ten times the distance from Earth to the Sun,C,True,X
A,2779,The oceans most influence global climate by,releasing heat to the atmosphere.,cooling bordering land masses.,providing continuous onshore winds.,removing water vapor from the atmosphere.,A,True,X
A,2780,A science class investigated the percentage of corn kernels that pop in bags of different brands of popcorn. Fifteen students tested three brands of popcorn each and reported their results to the class. Why did the teacher most likely have so many students report the results?,for more accurate results,for more student participation,to help simplify the procedure,to help explain the hypothesis,A,True,X
C,2782,What is the composition of the nucleus of an atom?,ions and electrons,electrons and protons,protons and neutrons,neutrons and electrons,C,True,X
A,2785,Which of these is the BEST reason to study weather?,To be prepared for storms,To learn how fossils are formed,To see changing phases of the Moon,To find ways for animals to live longer,A,True,X
A,2786,A recycling plant manager needs to melt 1500 kg of scrap copper to sell to a wire manufacturer. The copper is at 15°C and its melting point is 1083°C. The copper has a specific heat of 385 J/kg x K. How much heat is required to raise the temperature of the copper to its melting point?,6.2 x 10^8 J,6.3 x 10^8 J,7.7 x 10^8 J,7.9 x 10^8 J,A,True,X
C,2787,A decomposer is an organism that,preys on other animals,eats only plants,recycles nutrients,uses sunlight to make food,C,True,X
C,2788,Which type of scientist would study the relationship between simple machines and energy?,chemist,biologist,physicist,geologist,C,True,X
A,2789,The seeds of an oak come from the ___.,fruit,leaf,root,stem,A,True,X
A,2790,"A manufacturer wants to produce a container for food storage that does not break easily and is airtight, inexpensive, and microwave-safe. Which of the following is the best material to use to make the container?",glass,metal,paper,plastic,D,False,X
B,2791,"When carbon and oxygen combine chemically, the mass of the product is",greater than the mass of the carbon plus the mass of the oxygen,equal to the mass of the carbon plus the mass of the oxygen,equal to the mass of the carbon,less than the mass of the carbon,B,True,X
D,2792,Juvenile diabetes is a disease caused by the body's inability to create insulin. The body's white blood cells attack the pancreatic cells that produce insulin. This type of disease is known as,a cardiovascular disease.,an infectious disease.,a digestive system disease.,an autoimmune disease.,D,True,X
B,2793,Which of these describes a property of all matter?,All matter gives off light.,All matter is attracted by magnets.,All matter is made of atoms.,All matter dissolves in water.,C,False,X
A,2794,Which of the following is a characteristic of all chemical changes?,A different state of matter is produced.,Some mass is converted to energy.,Some form of light is given off.,A new material is formed.,D,False,X
B,2795,What is the complementary base of adenine in DNA?,cytosine,thymine,guanine,uracil,B,True,X
B,2797,What keeps Mars in orbit around the Sun?,friction,gravity,magnetism,solar power,B,True,X
B,2798,Which material is primarily a mixture of weathered rock and organic matter?,minerals,soil,ocean water,seashells,B,True,X
B,2799,How do plants most commonly break large rocks into smaller pieces?,Plant leaves insulate surrounding rocks from extreme temperatures.,Plant roots grow into cracks in rocks.,Seeds from plants fall onto rocks and release acidic compounds.,Stems of plants surround and squeeze rocks.,B,True,X
A,2800,Which statement best describes the climate of Nevada?,Temperature at night dropped behind a cold front.,Wind increased during the day.,Humidity is low throughout every summer.,Air pressure increased gradually all week.,C,False,X
A,2801,What is the primary function of skin cells?,to deliver messages to the brain,to generate movement of muscles,to provide a physical barrier to the body,to produce carbohydrates for energy,C,False,X
B,2802,"Some plants grow only in specific places in the world. Some cacti, for example, grow only in deserts. Which of the following is most important in determining where a plant can grow and survive?",animals,climate,tides,wind,B,True,X
B,2803,A geologist found fossils of horse bones in different rock layers of a canyon. The fossils in the lower levels show shorter bones than those in the upper-level fossils. Which conclusion is based on the geologist's observations?,Horse's reproduce using two parents.,Horse's became larger over time.,"Smaller Horse's went extinct, and then larger Horse's formed.",Smaller Horse's are better suited to the environment than larger Horse's.,B,True,X
A,2804,Which of the following is a reason life in the outermost planets is less likely than life on planets nearer the Sun?,They have too little mass.,They have too much mass.,Their surfaces are extremely hot.,Their surfaces are extremely cold.,D,False,X
A,2805,Which statement best explains how periods on the periodic table are organized?,increasing atomic number from left to right,increasing number of neutrons from left to right,decreasing number of electrons from left to right,decreasing atomic mass number from left to right,A,True,X
A,2808,An ecosystem is a community of organisms interacting with their physical environment. Why are decomposers an important part of ecosystems?,They break down dead organisms to return nutrients to the soil.,They produce their own food for survival.,They play a role in preventing weathering and erosion.,They provide most of the energy to consumers.,A,True,X
A,2809,Which term identifies a group of cells that work together to perform a similar function?,molecule,organ,organism,tissue,D,False,X
B,2810,Which of these statements is not considered part of the Big Bang Theory?,The universe is expanding.,The universe never changes.,"The universe began in a hot, dense state.",The universe began at a single point and time.,B,True,X
A,2811,Cells in the body use oxygen (O2) for cellular respiration. Which is the result of cellular respiration?,ATP is produced and carbon dioxide (CO2) is released.,ATP is consumed and carbon dioxide (CO2) is released.,ATP is produced and carbon dioxide (CO2) is absorbed.,ATP is consumed and carbon dioxide (CO2) is absorbed.,A,True,X
B,2812,Which geologic process is absent from the Gulf Coast states?,beach development,subduction zones,weathering,erosion,B,True,X
B,2813,The human body gets the energy it needs for growth and repair directly from,soil,food,sunlight,water,B,True,X
A,2814,In what type of rock would a geologist most likely find evidence of ancient life?,sedimentary,foliated,metamorphic,volcanic,A,True,X
A,2815,"During the Apollo 14 moon landing, astronauts played golf on the moon. Which of the following would be less on the moon than on Earth?",The mass of the golf ball,The weight of the golf ball,The mass and size of the golf ball,The weight and size of the golf ball,B,False,X
A,2816,"Evaporation, condensation, and precipitation are all processes which occur in the",water cycle.,energy cycle.,carbon cycle.,nitrogen cycle.,A,True,X
A,2817,Directions Read the information about wind erosion then answer the question. Wind can cause erosion that changes the surface of the Earth. Wind erosion can have negative effects on the environment by removing soil and polluting the air during dust storms. Walter wanted to find out if faster wind speeds increased the amount of wind erosion. Which instrument should he use to measure wind speed?,anemometer,barometer,rain gauge,thermometer,A,True,X
A,2818,Where does oxygen-rich blood go after leaving the lungs?,the brain.,the heart.,the kidney.,the stomach.,B,False,X
A,2819,Chemical pesticides are sometimes sprayed on crops to kill insects that eat the crops. People have different viewpoints about the use of pesticides on crops. What might be a concern about using pesticides on the crops?,Will the food ripen?,Will the food stay fresh?,Will the food harm humans?,Will the food harm bugs in the home?,C,False,X
B,2821,Which statement correctly describes a relationship between two human body systems?,The digestive system absorbs nutrients which are transported by the nervous system.,The digestive system absorbs nutrients which are transported by the circulatory system.,The circulatory system exchanges gases which are transported by the nervous system.,The circulatory system exchanges gases which are transported by the digestive system.,B,True,X
A,2822,Which statement best explains Earth's day and night cycle?,Earth rotates once each day on its axis.,Earth revolves around the Sun each year.,The Sun is closest to Earth during the day.,The tilt of Earth changes throughout the year.,A,True,X
B,2823,What is the first thing a student should do if an accident happens during a science experiment?,report to the teacher,clean the laboratory station,locate the nearest exit,put on safety goggles,A,False,X
A,2824,Which of the following helps keep the Moon in its orbit?,friction,gravity,longitude,latitude,B,False,X
B,2827,Which is an example of kinetic energy?,a book sitting on a shelf,a ball rolling down a hill,a runner about to start a race,a window getting hot from the sun,B,True,X
A,2829,"When too much salt is detected in the bloodstream, the brain secretes a hormone that helps the body retain water by reducing the amount of urine produced. This is an example of",a feedback loop.,an acquired trait.,a balanced ecosystem.,a symbiotic relationship.,A,True,X
B,2831,Which change in the environment would have a negative effect on the survival of a species in an ecosystem?,increase in the population of prey,introduction of a competing species,decrease in the population of predators,increase in genetic diversity of the species,B,True,X
A,2832,An element is identified by,its number of protons.,the atomic mass.,the type of charge.,its number of isotopes.,A,True,X
A,2835,Naturally occurring variations within a species are mainly the result of mutations and,sexual reproduction,dynamic equilibrium,metabolism,camouflage,A,True,X
A,2836,"As a sample of water turns to ice,",new molecules are formed.,the mass of the sample is increased.,the arrangement of the molecules changes.,energy is absorbed by the molecules.,C,False,X
A,2837,An ice cube is placed in a pan. The pan is placed over an open flame. Which change will most likely happen over time?,The ice changes to a liquid and back to a solid.,The ice changes to a liquid then to a gas.,The ice changes to a gas and back to a solid.,The ice changes to a gas then to a liquid.,B,False,X
C,2838,"Byron is investigating how temperature affects mold growth on bread. Before starting his procedure, Byron states in his journal that he thinks wet bread placed in the refrigerator will grow the most mold. Which term best describes Byron's statement?",conclusion,result,hypothesis,variable,C,True,X
